Year,Month,Season,district_c,Unnamed: 0,Arrivals,Present
2015,12.0,Winter,5,3616896,101009,412847
2015,12.0,Winter,6,4167063,26880,67984
2015,12.0,Winter,7,3610957,30137,125062
2015,12.0,Winter,8,1686042,36865,113521
2016,1.0,Winter,1,283611,17375,34043
2016,1.0,Winter,2,6232027,35021,145139
2016,1.0,Winter,3,3469726,52973,223673
2016,1.0,Winter,4,7417032,250672,1210602
2016,1.0,Winter,5,3618801,126896,657935
2016,1.0,Winter,6,4177016,11612,46101
2016,1.0,Winter,7,3613070,33189,157601
2016,1.0,Winter,8,1661857,34286,129356
2016,2.0,Winter,1,287433,15611,26947
2016,2.0,Winter,2,5639212,28034,111210
2016,2.0,Winter,3,3467961,58916,261663
2016,2.0,Winter,4,7515804,248409,1302544
2016,2.0,Winter,5,3618778,134645,753978
2016,2.0,Winter,6,4087999,9389,38337
2016,2.0,Winter,7,3661419,39780,208958
2016,2.0,Winter,8,1684067,36050,144166
2016,3.0,Spring,1,291189,20169,39895
2016,3.0,Spring,2,6740907,73830,304753
2016,3.0,Spring,3,3513552,50377,210936
2016,3.0,Spring,4,7615284,211833,1090239
2016,3.0,Spring,5,3715506,121177,678644
2016,3.0,Spring,6,4678916,23516,89238
2016,3.0,Spring,7,3758593,44988,232891
2016,3.0,Spring,8,1754880,34135,130476
2016,4.0,Spring,1,295113,21049,42214
2016,4.0,Spring,2,7029817,103134,449141
2016,4.0,Spring,3,3610468,22937,67140
2016,4.0,Spring,4,7519482,25299,96792
2016,4.0,Spring,5,3864393,11798,48866
