Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District,Seasono,Unnamed: 0,Arrivalso,Present
2010,10.0,6,Autumn,7763.0,306.0,33422.0,6313.0,1390.0,3946.0,53140.0,Uberetsch-Unterland,Autumn,636625,53140,209554
2010,10.0,7,Autumn,2352.0,222.0,15720.0,9832.0,1489.0,4085.0,33700.0,Vinschgau,Autumn,482193,33700,133966
2010,10.0,8,Autumn,1222.0,346.0,13648.0,5406.0,509.0,905.0,22036.0,Wipptal,Autumn,223056,22036,71011
2010,11.0,1,Autumn,1071.0,243.0,2627.0,11840.0,2065.0,455.0,18301.0,Bozen,Autumn,39807,18301,38482
2010,11.0,2,Autumn,2963.0,142.0,12208.0,20486.0,1513.0,2686.0,39998.0,Burggrafenamt,Autumn,843789,39998,157946
2010,11.0,3,Autumn,1704.0,88.0,5116.0,7095.0,520.0,301.0,14824.0,Eisacktal,Autumn,461642,14824,46581
2010,11.0,4,Autumn,1550.0,74.0,3678.0,9588.0,650.0,272.0,15812.0,Pustertal,Autumn,923026,15812,55428
2010,11.0,5,Autumn,479.0,41.0,2324.0,7025.0,373.0,166.0,10408.0,Salten-Schlern,Autumn,487413,10408,40345
2010,11.0,6,Autumn,1431.0,131.0,4124.0,6779.0,1118.0,377.0,13960.0,Uberetsch-Unterland,Autumn,615242,13960,46884
2010,11.0,7,Autumn,621.0,76.0,2944.0,5618.0,1319.0,412.0,10990.0,Vinschgau,Autumn,489657,10990,41631
2010,11.0,8,Autumn,787.0,52.0,2152.0,6131.0,386.0,149.0,9657.0,Wipptal,Autumn,232381,9657,27006
2010,12.0,1,Winter,748.0,81.0,2106.0,21332.0,1522.0,565.0,26354.0,Bozen,Winter,43395,26354,56903
2010,12.0,2,Winter,1144.0,306.0,9863.0,47356.0,1507.0,1631.0,61807.0,Burggrafenamt,Winter,987853,61807,192234
2010,12.0,3,Winter,832.0,590.0,12292.0,29872.0,2747.0,754.0,47087.0,Eisacktal,Winter,547199,47087,161229
2010,12.0,4,Winter,1980.0,3174.0,32866.0,121166.0,17707.0,1127.0,178020.0,Pustertal,Winter,1148670,178020,785944
2010,12.0,5,Winter,1068.0,3168.0,16984.0,60817.0,8718.0,987.0,91742.0,Salten-Schlern,Winter,575916,91742,412234
2010,12.0,6,Winter,430.0,101.0,3210.0,14839.0,663.0,461.0,19704.0,Uberetsch-Unterland,Winter,639244,19704,55508
2010,12.0,7,Winter,459.0,750.0,11058.0,8689.0,1705.0,787.0,23448.0,Vinschgau,Winter,547724,23448,102739
2010,12.0,8,Winter,345.0,422.0,9743.0,21312.0,686.0,186.0,32694.0,Wipptal,Winter,267852,32694,109757
2011,1.0,1,Winter,622.0,277.0,1652.0,10153.0,1708.0,298.0,14710.0,Bozen,Winter,47205,14710,34647
2011,1.0,2,Winter,835.0,141.0,7617.0,21876.0,1350.0,865.0,32684.0,Burggrafenamt,Winter,1053855,32684,152331
2011,1.0,3,Winter,925.0,724.0,24194.0,20601.0,3689.0,683.0,50816.0,Eisacktal,Winter,584996,50816,234013
2011,1.0,4,Winter,3594.0,5721.0,74205.0,126164.0,31493.0,1460.0,242637.0,Pustertal,Winter,1253713,242637,1279784
2011,1.0,5,Winter,1594.0,5991.0,33681.0,57074.0,22917.0,1601.0,122858.0,Salten-Schlern,Winter,615846,122858,686060
2011,1.0,6,Winter,185.0,215.0,1868.0,6510.0,1302.0,171.0,10251.0,Uberetsch-Unterland,Winter,685032,10251,43757
2011,1.0,7,Winter,392.0,802.0,17314.0,7834.0,2732.0,1742.0,30816.0,Vinschgau,Winter,602594,30816,167682
2011,1.0,8,Winter,417.0,350.0,18364.0,11695.0,763.0,171.0,31760.0,Wipptal,Winter,282754,31760,135924
2011,2.0,1,Winter,836.0,196.0,1842.0,7455.0,1621.0,279.0,12229.0,Bozen,Winter,50967,12229,25078
2011,2.0,2,Winter,1582.0,461.0,6628.0,11090.0,1646.0,1395.0,22802.0,Burggrafenamt,Winter,1029114,22802,98416
2011,2.0,3,Winter,1703.0,1432.0,21254.0,12792.0,7671.0,936.0,45788.0,Eisacktal,Winter,612368,45788,208492
2011,2.0,4,Winter,6368.0,6763.0,58119.0,94504.0,32332.0,1458.0,199544.0,Pustertal,Winter,1358574,199544,1091858
2011,2.0,5,Winter,2516.0,8490.0,29418.0,45141.0,22790.0,1490.0,109845.0,Salten-Schlern,Winter,645448,109845,630258
2011,2.0,6,Winter,502.0,318.0,3056.0,4203.0,1424.0,298.0,9801.0,Uberetsch-Unterland,Winter,765188,9801,41828
2011,2.0,7,Winter,1053.0,2623.0,13744.0,5334.0,3434.0,2548.0,28736.0,Vinschgau,Winter,656760,28736,155345
2011,2.0,8,Winter,799.0,1064.0,15363.0,7434.0,1878.0,407.0,26945.0,Wipptal,Winter,304640,26945,113422
2011,3.0,1,Spring,964.0,166.0,3364.0,8796.0,2074.0,302.0,15666.0,Bozen,Spring,54705,15666,32377
2011,3.0,2,Spring,1904.0,284.0,16031.0,12554.0,1675.0,2229.0,34677.0,Burggrafenamt,Spring,1197027,34677,150041
2011,3.0,3,Spring,1103.0,1703.0,19998.0,11257.0,4886.0,407.0,39354.0,Eisacktal,Spring,675142,39354,184346
2011,3.0,4,Spring,4015.0,10343.0,63723.0,73841.0,18704.0,1348.0,171974.0,Pustertal,Spring,1465842,171974,999361
2011,3.0,5,Spring,1941.0,6681.0,32543.0,41124.0,13969.0,1332.0,97590.0,Salten-Schlern,Spring,700943,97590,604354
2011,3.0,6,Spring,619.0,561.0,4859.0,5092.0,1152.0,371.0,12654.0,Uberetsch-Unterland,Spring,866437,12654,51435
2011,3.0,7,Spring,1071.0,1249.0,18687.0,7086.0,2574.0,1921.0,32588.0,Vinschgau,Spring,713968,32588,172235
2011,3.0,8,Spring,489.0,744.0,17270.0,6848.0,1371.0,220.0,26942.0,Wipptal,Spring,335856,26942,113370
2011,4.0,1,Spring,1747.0,254.0,6975.0,8144.0,2725.0,937.0,20782.0,Bozen,Spring,58551,20782,47520
2011,4.0,2,Spring,7482.0,1108.0,80526.0,13346.0,2692.0,15774.0,120928.0,Burggrafenamt,Spring,1431268,120928,586508
2011,4.0,3,Spring,1725.0,273.0,14085.0,6321.0,1142.0,805.0,24351.0,Eisacktal,Spring,702035,24351,88633
2011,4.0,4,Spring,1535.0,3538.0,15844.0,14090.0,1462.0,971.0,37440.0,Pustertal,Spring,1476013,37440,169994
2011,4.0,5,Spring,734.0,241.0,8258.0,5585.0,744.0,597.0,16159.0,Salten-Schlern,Spring,778970,16159,73836
2011,4.0,6,Spring,3564.0,502.0,26111.0,6217.0,1170.0,3244.0,40808.0,Uberetsch-Unterland,Spring,1026842,40808,158046
2011,4.0,7,Spring,1716.0,905.0,20225.0,6024.0,1780.0,4302.0,34952.0,Vinschgau,Spring,783231,34952,154204
2011,4.0,8,Spring,620.0,225.0,8288.0,5234.0,766.0,194.0,15327.0,Wipptal,Spring,349081,15327,45401
2011,5.0,1,Spring,1998.0,575.0,5496.0,7848.0,3832.0,1005.0,20754.0,Bozen,Spring,62517,20754,47495
2011,5.0,2,Spring,7742.0,1661.0,69933.0,10132.0,2997.0,15013.0,107478.0,Burggrafenamt,Spring,1568391,107478,601179
2011,5.0,3,Spring,2144.0,745.0,18300.0,5031.0,1663.0,1007.0,28890.0,Eisacktal,Spring,780516,28890,110683
2011,5.0,4,Spring,2108.0,905.0,14898.0,10284.0,1676.0,1095.0,30966.0,Pustertal,Spring,1573697,30966,110296
2011,5.0,5,Spring,1397.0,450.0,11369.0,4891.0,1284.0,1037.0,20428.0,Salten-Schlern,Spring,829908,20428,81677
2011,5.0,6,Spring,4799.0,873.0,23001.0,6233.0,1711.0,3317.0,39934.0,Uberetsch-Unterland,Spring,1126076,39934,159184
2011,5.0,7,Spring,1308.0,823.0,9846.0,3864.0,782.0,3075.0,19698.0,Vinschgau,Spring,834783,19698,73025
2011,5.0,8,Spring,1083.0,405.0,8481.0,3048.0,943.0,179.0,14139.0,Wipptal,Spring,351311,14139,40378
2011,6.0,1,Summer,2116.0,817.0,8540.0,7214.0,5217.0,1670.0,25574.0,Bozen,Summer,66513,25574,55806
2011,6.0,2,Summer,7589.0,3010.0,104392.0,12892.0,4275.0,13102.0,145260.0,Burggrafenamt,Summer,1678023,145260,809537
2011,6.0,3,Summer,2546.0,1410.0,32829.0,10435.0,2865.0,1299.0,51384.0,Eisacktal,Summer,829589,51384,218118
2011,6.0,4,Summer,4771.0,3212.0,44406.0,46058.0,7077.0,2956.0,108480.0,Pustertal,Summer,1741062,108480,459925
2011,6.0,5,Summer,2920.0,1900.0,37774.0,19084.0,4608.0,2730.0,69016.0,Salten-Schlern,Summer,893163,69016,337429
2011,6.0,6,Summer,5896.0,1626.0,39800.0,5470.0,2219.0,3230.0,58241.0,Uberetsch-Unterland,Summer,1196788,58241,254166
2011,6.0,7,Summer,2028.0,2017.0,26048.0,8146.0,2087.0,4254.0,44580.0,Vinschgau,Summer,887253,44580,175450
2011,6.0,8,Summer,1095.0,704.0,12459.0,6718.0,1257.0,387.0,22620.0,Wipptal,Summer,407130,22620,78821
2011,7.0,1,Summer,1988.0,2492.0,8646.0,6918.0,7478.0,1206.0,28728.0,Bozen,Summer,70575,28728,60087
2011,7.0,2,Summer,7213.0,9531.0,96094.0,23617.0,6432.0,19028.0,161915.0,Burggrafenamt,Summer,1814607,161915,927873
2011,7.0,3,Summer,2693.0,5109.0,31820.0,25021.0,5452.0,1721.0,71816.0,Eisacktal,Summer,879216,71816,347655
2011,7.0,4,Summer,4807.0,11417.0,43312.0,153727.0,14843.0,4343.0,232449.0,Pustertal,Summer,1881450,232449,1294477
2011,7.0,5,Summer,2529.0,4620.0,35165.0,62796.0,8679.0,3280.0,117069.0,Salten-Schlern,Summer,946335,117069,694425
2011,7.0,6,Summer,4916.0,5080.0,35445.0,9644.0,5031.0,4911.0,65027.0,Uberetsch-Unterland,Summer,1292910,65027,309457
2011,7.0,7,Summer,2976.0,6642.0,27398.0,22927.0,3632.0,5871.0,69446.0,Vinschgau,Summer,940299,69446,315531
2011,7.0,8,Summer,1100.0,3237.0,12012.0,15052.0,2786.0,555.0,34742.0,Wipptal,Summer,431598,34742,151402
2011,8.0,1,Summer,2531.0,1339.0,10941.0,7610.0,5673.0,1156.0,29250.0,Bozen,Summer,74685,29250,67759
2011,8.0,2,Summer,6761.0,5231.0,113502.0,40972.0,4786.0,10473.0,181725.0,Burggrafenamt,Summer,1904364,181725,1140831
2011,8.0,3,Summer,2627.0,2102.0,29997.0,39043.0,2662.0,927.0,77358.0,Eisacktal,Summer,929159,77358,451653
2011,8.0,4,Summer,4210.0,4524.0,38636.0,192757.0,8730.0,2421.0,251278.0,Pustertal,Summer,1988148,251278,1698882
2011,8.0,5,Summer,2533.0,2203.0,34300.0,83905.0,4922.0,2048.0,129911.0,Salten-Schlern,Summer,999663,129911,902128
2011,8.0,6,Summer,5119.0,2576.0,44780.0,12043.0,2745.0,2669.0,69932.0,Uberetsch-Unterland,Summer,1354150,69932,390160
2011,8.0,7,Summer,3195.0,3832.0,31685.0,33823.0,2663.0,4020.0,79218.0,Vinschgau,Summer,993657,79218,417805
2011,8.0,8,Summer,1007.0,1281.0,10992.0,25191.0,1371.0,262.0,40104.0,Wipptal,Summer,456228,40104,209548
2011,9.0,1,Autumn,3729.0,681.0,10047.0,8276.0,6129.0,1512.0,30374.0,Bozen,Autumn,78771,30374,68467
2011,9.0,2,Autumn,8323.0,2466.0,116320.0,13031.0,3869.0,15223.0,159232.0,Burggrafenamt,Autumn,2005583,159232,950619
