Year,Category,district_c,Arrivals,Present
2019,1-2 Star Hotel,7,55079,185610
2019,1-2 Star Hotel,8,55681,141763
2019,3 Star Hotel,1,105032,190189
2019,3 Star Hotel,2,503374,2194701
2019,3 Star Hotel,3,298621,1111375
2019,3 Star Hotel,4,737436,3129265
2019,3 Star Hotel,5,407691,1871840
2019,3 Star Hotel,6,265256,864230
2019,3 Star Hotel,7,225662,877787
2019,3 Star Hotel,8,168482,449898
2019,4-5 Star Hotel,1,147987,263054
2019,4-5 Star Hotel,2,521066,2427467
2019,4-5 Star Hotel,3,207152,798854
2019,4-5 Star Hotel,4,535810,2417767
2019,4-5 Star Hotel,5,406541,1952111
2019,4-5 Star Hotel,6,95089,414707
2019,4-5 Star Hotel,7,110292,473942
2019,4-5 Star Hotel,8,150355,598925
2019,Agricaltural Lodging,1,3997,16828
2019,Agricaltural Lodging,2,85511,560616
2019,Agricaltural Lodging,3,66284,375200
2019,Agricaltural Lodging,4,159922,962688
2019,Agricaltural Lodging,5,68882,430980
2019,Agricaltural Lodging,6,59209,375703
2019,Agricaltural Lodging,7,33320,189609
2019,Agricaltural Lodging,8,16827,79611
2019,Campings,1,11181,40785
2019,Campings,2,102143,477997
2019,Campings,3,20338,37226
2019,Campings,4,129233,550625
2019,Campings,5,26762,115657
2019,Campings,6,54724,223136
2019,Campings,7,60308,259630
2019,Campings,8,8351,18406
2019,Other,1,12383,22254
2019,Other,2,31584,89296
2019,Other,3,40418,97499
2019,Other,4,71693,163186
2019,Other,5,17403,56962
2019,Other,6,4561,12900
2019,Other,7,22652,40945
2019,Other,8,7547,43503
2019,Private Lodging,1,40137,99858
2019,Private Lodging,2,87097,409919
2019,Private Lodging,3,28932,134389
2019,Private Lodging,4,171938,1001315
2019,Private Lodging,5,113302,704816
2019,Private Lodging,6,22381,129949
2019,Private Lodging,7,21378,116463
2019,Private Lodging,8,7804,42785
2019,Residence,1,247,6696
2019,Residence,2,124544,721312
2019,Residence,3,30419,160589
2019,Residence,4,202348,1155389
2019,Residence,5,96066,534226
2019,Residence,6,15199,108223
2019,Residence,7,61391,348035
2019,Residence,8,13331,78186
2020,1-2 Star Hotel,1,10152,53467
2020,1-2 Star Hotel,2,44844,188211
2020,1-2 Star Hotel,3,43346,196859
2020,1-2 Star Hotel,4,156058,732070
2020,1-2 Star Hotel,5,42413,190495
2020,1-2 Star Hotel,6,23429,96573
2020,1-2 Star Hotel,7,31226,111714
2020,1-2 Star Hotel,8,30607,85126
2020,3 Star Hotel,1,37070,75791
2020,3 Star Hotel,2,249733,1098199
2020,3 Star Hotel,3,166451,676312
2020,3 Star Hotel,4,475902,2135440
2020,3 Star Hotel,5,258642,1255772
2020,3 Star Hotel,6,116648,410598
2020,3 Star Hotel,7,146908,590638
2020,3 Star Hotel,8,95863,270902
2020,4-5 Star Hotel,1,64106,119669
2020,4-5 Star Hotel,2,277462,1334420
2020,4-5 Star Hotel,3,129396,526216
2020,4-5 Star Hotel,4,352592,1646335
2020,4-5 Star Hotel,5,269897,1335374
2020,4-5 Star Hotel,6,51685,236241
2020,4-5 Star Hotel,7,70225,313113
2020,4-5 Star Hotel,8,90768,380700
2020,Agricaltural Lodging,1,2425,10283
2020,Agricaltural Lodging,2,49815,344687
2020,Agricaltural Lodging,3,43718,271367
