Year,Month,District,Nationality,Arrivals,Present
2010,6.0,Oltradige-Bassa Ates.,Germany,29081,143464
2010,6.0,Oltradige-Bassa Ates.,Italy,5778,19725
2010,6.0,Oltradige-Bassa Ates.,Other countries,2496,13190
2010,6.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,2495,11768
2010,6.0,Salto-Schiliar,Austria,2746,10252
2010,6.0,Salto-Schiliar,Benelux countries,1701,9662
2010,6.0,Salto-Schiliar,Germany,29189,167234
2010,6.0,Salto-Schiliar,Italy,16768,73527
2010,6.0,Salto-Schiliar,Other countries,4324,17760
2010,6.0,Salto-Schiliar,Switzerland and Liechtenstein,2349,10357
2010,6.0,Val Pusteria,Austria,4158,12589
2010,6.0,Val Pusteria,Benelux countries,3526,16885
2010,6.0,Val Pusteria,Germany,34519,178992
2010,6.0,Val Pusteria,Italy,38303,148216
2010,6.0,Val Pusteria,Other countries,6681,25803
2010,6.0,Val Pusteria,Switzerland and Liechtenstein,2021,8043
2010,6.0,Val Venosta,Austria,1845,4943
2010,6.0,Val Venosta,Benelux countries,2020,9095
2010,6.0,Val Venosta,Germany,17726,85029
2010,6.0,Val Venosta,Italy,7578,24811
2010,6.0,Val Venosta,Other countries,2139,7636
2010,6.0,Val Venosta,Switzerland and Liechtenstein,2902,10226
2010,6.0,Valle Isarco,Austria,2052,5851
2010,6.0,Valle Isarco,Benelux countries,1166,5103
2010,6.0,Valle Isarco,Germany,27334,131202
2010,6.0,Valle Isarco,Italy,8159,31799
2010,6.0,Valle Isarco,Other countries,3076,13247
2010,6.0,Valle Isarco,Switzerland and Liechtenstein,968,4007
2010,7.0,Alta Valle Isarco,Austria,741,1467
2010,7.0,Alta Valle Isarco,Benelux countries,2556,9249
2010,7.0,Alta Valle Isarco,Germany,10901,44613
2010,7.0,Alta Valle Isarco,Italy,15557,79878
2010,7.0,Alta Valle Isarco,Other countries,2418,6882
2010,7.0,Alta Valle Isarco,Switzerland and Liechtenstein,549,1860
2010,7.0,Bolzano,Austria,1686,3050
2010,7.0,Bolzano,Benelux countries,2191,4080
2010,7.0,Bolzano,Germany,7479,16573
2010,7.0,Bolzano,Italy,6950,16043
2010,7.0,Bolzano,Other countries,7335,15004
2010,7.0,Bolzano,Switzerland and Liechtenstein,1121,2329
2010,7.0,Burggrafenamt,Austria,6761,26059
2010,7.0,Burggrafenamt,Benelux countries,8793,62319
2010,7.0,Burggrafenamt,Germany,84732,580425
2010,7.0,Burggrafenamt,Italy,23812,103554
2010,7.0,Burggrafenamt,Other countries,6023,29352
2010,7.0,Burggrafenamt,Switzerland and Liechtenstein,15511,83002
2010,7.0,Oltradige-Bassa Ates.,Austria,4423,16065
2010,7.0,Oltradige-Bassa Ates.,Benelux countries,4404,22526
2010,7.0,Oltradige-Bassa Ates.,Germany,31622,167022
2010,7.0,Oltradige-Bassa Ates.,Italy,9641,38148
2010,7.0,Oltradige-Bassa Ates.,Other countries,5260,24917
2010,7.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,4548,22869
2010,7.0,Salto-Schiliar,Austria,2471,10102
2010,7.0,Salto-Schiliar,Benelux countries,3874,23720
2010,7.0,Salto-Schiliar,Germany,30970,210543
2010,7.0,Salto-Schiliar,Italy,60285,361710
2010,7.0,Salto-Schiliar,Other countries,7578,39257
2010,7.0,Salto-Schiliar,Switzerland and Liechtenstein,2816,14371
2010,7.0,Val Pusteria,Austria,5446,17479
2010,7.0,Val Pusteria,Benelux countries,10694,67304
2010,7.0,Val Pusteria,Germany,40029,234532
2010,7.0,Val Pusteria,Italy,155193,887421
2010,7.0,Val Pusteria,Other countries,12763,52396
2010,7.0,Val Pusteria,Switzerland and Liechtenstein,3677,16592
2010,7.0,Val Venosta,Austria,2664,7825
2010,7.0,Val Venosta,Benelux countries,6452,37881
2010,7.0,Val Venosta,Germany,24265,128622
2010,7.0,Val Venosta,Italy,23258,98163
2010,7.0,Val Venosta,Other countries,3659,13594
2010,7.0,Val Venosta,Switzerland and Liechtenstein,4593,16532
2010,7.0,Valle Isarco,Austria,2370,8193
2010,7.0,Valle Isarco,Benelux countries,4573,17878
2010,7.0,Valle Isarco,Germany,28848,161864
2010,7.0,Valle Isarco,Italy,25607,129824
2010,7.0,Valle Isarco,Other countries,4678,16122
2010,7.0,Valle Isarco,Switzerland and Liechtenstein,1436,6467
2010,8.0,Alta Valle Isarco,Austria,854,2335
2010,8.0,Alta Valle Isarco,Benelux countries,1100,4510
2010,8.0,Alta Valle Isarco,Germany,9927,40183
2010,8.0,Alta Valle Isarco,Italy,24684,156724
2010,8.0,Alta Valle Isarco,Other countries,1277,3912
2010,8.0,Alta Valle Isarco,Switzerland and Liechtenstein,360,1349
2010,8.0,Bolzano,Austria,1932,3967
2010,8.0,Bolzano,Benelux countries,1191,2788
2010,8.0,Bolzano,Germany,10111,23798
2010,8.0,Bolzano,Italy,7844,18824
2010,8.0,Bolzano,Other countries,5957,12865
2010,8.0,Bolzano,Switzerland and Liechtenstein,888,2222
2010,8.0,Burggrafenamt,Austria,6873,27442
2010,8.0,Burggrafenamt,Benelux countries,5298,45515
2010,8.0,Burggrafenamt,Germany,113209,723083
2010,8.0,Burggrafenamt,Italy,45867,246563
2010,8.0,Burggrafenamt,Other countries,4885,25868
2010,8.0,Burggrafenamt,Switzerland and Liechtenstein,9698,49185
2010,8.0,Oltradige-Bassa Ates.,Austria,5050,18513
2010,8.0,Oltradige-Bassa Ates.,Benelux countries,2652,16901
2010,8.0,Oltradige-Bassa Ates.,Germany,46251,254573
2010,8.0,Oltradige-Bassa Ates.,Italy,12238,63068
2010,8.0,Oltradige-Bassa Ates.,Other countries,3515,18065
2010,8.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,2686,13185
2010,8.0,Salto-Schiliar,Austria,2214,8784
2010,8.0,Salto-Schiliar,Benelux countries,2082,12799
2010,8.0,Salto-Schiliar,Germany,33260,195955
2010,8.0,Salto-Schiliar,Italy,84668,642881
2010,8.0,Salto-Schiliar,Other countries,4258,22779
2010,8.0,Salto-Schiliar,Switzerland and Liechtenstein,1797,8687
2010,8.0,Val Pusteria,Austria,4151,12473
2010,8.0,Val Pusteria,Benelux countries,4024,27528
2010,8.0,Val Pusteria,Germany,36205,176220
2010,8.0,Val Pusteria,Italy,193766,1450953
2010,8.0,Val Pusteria,Other countries,7496,31336
2010,8.0,Val Pusteria,Switzerland and Liechtenstein,2003,7964
2010,8.0,Val Venosta,Austria,2759,7529
2010,8.0,Val Venosta,Benelux countries,3229,26061
2010,8.0,Val Venosta,Germany,29044,145806
2010,8.0,Val Venosta,Italy,35734,213759
2010,8.0,Val Venosta,Other countries,2307,8917
2010,8.0,Val Venosta,Switzerland and Liechtenstein,3266,11662
2010,8.0,Valle Isarco,Austria,2227,7110
2010,8.0,Valle Isarco,Benelux countries,2063,9317
2010,8.0,Valle Isarco,Germany,29482,149681
2010,8.0,Valle Isarco,Italy,42210,266232
2010,8.0,Valle Isarco,Other countries,2985,12508
2010,8.0,Valle Isarco,Switzerland and Liechtenstein,864,3215
2010,9.0,Alta Valle Isarco,Austria,1516,3843
2010,9.0,Alta Valle Isarco,Benelux countries,678,2848
2010,9.0,Alta Valle Isarco,Germany,14030,55641
2010,9.0,Alta Valle Isarco,Italy,7630,29597
2010,9.0,Alta Valle Isarco,Other countries,1424,4000
2010,9.0,Alta Valle Isarco,Switzerland and Liechtenstein,451,1344
2010,9.0,Bolzano,Austria,3232,6894
2010,9.0,Bolzano,Benelux countries,621,1175
2010,9.0,Bolzano,Germany,9543,23307
2010,9.0,Bolzano,Italy,8367,19054
2010,9.0,Bolzano,Other countries,5544,11358
2010,9.0,Bolzano,Switzerland and Liechtenstein,1619,3165
2010,9.0,Burggrafenamt,Austria,8318,32403
2010,9.0,Burggrafenamt,Benelux countries,1942,13628
2010,9.0,Burggrafenamt,Germany,109965,747645
2010,9.0,Burggrafenamt,Italy,12854,47159
2010,9.0,Burggrafenamt,Other countries,3582,18362
2010,9.0,Burggrafenamt,Switzerland and Liechtenstein,14618,72376
2010,9.0,Oltradige-Bassa Ates.,Austria,6390,22342
2010,9.0,Oltradige-Bassa Ates.,Benelux countries,665,3759
2010,9.0,Oltradige-Bassa Ates.,Germany,41105,219475
2010,9.0,Oltradige-Bassa Ates.,Italy,5847,19928
2010,9.0,Oltradige-Bassa Ates.,Other countries,2384,14216
2010,9.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,3821,17075
2010,9.0,Salto-Schiliar,Austria,3748,14545
2010,9.0,Salto-Schiliar,Benelux countries,1352,8877
2010,9.0,Salto-Schiliar,Germany,42780,276159
2010,9.0,Salto-Schiliar,Italy,16152,84350
2010,9.0,Salto-Schiliar,Other countries,4533,18789
2010,9.0,Salto-Schiliar,Switzerland and Liechtenstein,3175,14659
2010,9.0,Val Pusteria,Austria,7454,24481
2010,9.0,Val Pusteria,Benelux countries,2569,13376
2010,9.0,Val Pusteria,Germany,54597,314298
2010,9.0,Val Pusteria,Italy,40519,209797
2010,9.0,Val Pusteria,Other countries,5734,21478
2010,9.0,Val Pusteria,Switzerland and Liechtenstein,3497,14419
2010,9.0,Val Venosta,Austria,2306,7942
2010,9.0,Val Venosta,Benelux countries,1372,6162
2010,9.0,Val Venosta,Germany,27911,149225
2010,9.0,Val Venosta,Italy,8264,30375
2010,9.0,Val Venosta,Other countries,1678,6797
2010,9.0,Val Venosta,Switzerland and Liechtenstein,4260,15079
2010,9.0,Valle Isarco,Austria,3916,11918
2010,9.0,Valle Isarco,Benelux countries,854,3772
2010,9.0,Valle Isarco,Germany,36237,180743
2010,9.0,Valle Isarco,Italy,9644,40031
2010,9.0,Valle Isarco,Other countries,3141,12571
2010,9.0,Valle Isarco,Switzerland and Liechtenstein,2118,7966
2010,10.0,Alta Valle Isarco,Austria,1222,3345
2010,10.0,Alta Valle Isarco,Benelux countries,346,1019
2010,10.0,Alta Valle Isarco,Germany,13648,46504
2010,10.0,Alta Valle Isarco,Italy,5406,14451
2010,10.0,Alta Valle Isarco,Other countries,509,2456
2010,10.0,Alta Valle Isarco,Switzerland and Liechtenstein,905,3236
2010,10.0,Bolzano,Austria,3351,6489
2010,10.0,Bolzano,Benelux countries,170,523
2010,10.0,Bolzano,Germany,7278,19021
2010,10.0,Bolzano,Italy,9086,20206
2010,10.0,Bolzano,Other countries,3259,7752
2010,10.0,Bolzano,Switzerland and Liechtenstein,1490,3673
2010,10.0,Burggrafenamt,Austria,13016,44261
2010,10.0,Burggrafenamt,Benelux countries,757,5310
2010,10.0,Burggrafenamt,Germany,98017,565047
2010,10.0,Burggrafenamt,Italy,16464,45651
2010,10.0,Burggrafenamt,Other countries,2319,14826
2010,10.0,Burggrafenamt,Switzerland and Liechtenstein,17298,88045
2010,10.0,Oltradige-Bassa Ates.,Austria,7763,21601
2010,10.0,Oltradige-Bassa Ates.,Benelux countries,306,1039
2010,10.0,Oltradige-Bassa Ates.,Germany,33422,141191
2010,10.0,Oltradige-Bassa Ates.,Italy,6313,18730
2010,10.0,Oltradige-Bassa Ates.,Other countries,1390,10169
2010,10.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,3946,16824
2010,10.0,Salto-Schiliar,Austria,2957,8994
2010,10.0,Salto-Schiliar,Benelux countries,411,2419
2010,10.0,Salto-Schiliar,Germany,27941,145446
2010,10.0,Salto-Schiliar,Italy,9604,27914
2010,10.0,Salto-Schiliar,Other countries,1482,7133
2010,10.0,Salto-Schiliar,Switzerland and Liechtenstein,2875,13872
2010,10.0,Val Pusteria,Austria,5052,13759
2010,10.0,Val Pusteria,Benelux countries,476,2620
2010,10.0,Val Pusteria,Germany,32806,148181
2010,10.0,Val Pusteria,Italy,18620,52820
2010,10.0,Val Pusteria,Other countries,1451,6775
2010,10.0,Val Pusteria,Switzerland and Liechtenstein,2833,11775
2010,10.0,Val Venosta,Austria,2352,6730
2010,10.0,Val Venosta,Benelux countries,222,1056
2010,10.0,Val Venosta,Germany,15720,73579
2010,10.0,Val Venosta,Italy,9832,26776
2010,10.0,Val Venosta,Other countries,1489,10459
2010,10.0,Val Venosta,Switzerland and Liechtenstein,4085,15366
2010,10.0,Valle Isarco,Austria,4527,11444
2010,10.0,Valle Isarco,Benelux countries,426,1818
2010,10.0,Valle Isarco,Germany,34019,138278
2010,10.0,Valle Isarco,Italy,8487,24182
2010,10.0,Valle Isarco,Other countries,1527,7316
2010,10.0,Valle Isarco,Switzerland and Liechtenstein,1965,8297
2010,11.0,Alta Valle Isarco,Austria,787,1264
2010,11.0,Alta Valle Isarco,Benelux countries,52,424
2010,11.0,Alta Valle Isarco,Germany,2152,8373
2010,11.0,Alta Valle Isarco,Italy,6131,14628
2010,11.0,Alta Valle Isarco,Other countries,386,1850
2010,11.0,Alta Valle Isarco,Switzerland and Liechtenstein,149,467
2010,11.0,Bolzano,Austria,1071,1873
2010,11.0,Bolzano,Benelux countries,243,551
2010,11.0,Bolzano,Germany,2627,5382
2010,11.0,Bolzano,Italy,11840,24056
2010,11.0,Bolzano,Other countries,2065,5767
