Year,Month,Nationality,Arrivals,Present
2016,3.0,Deutschland,281364,1472976
2016,3.0,Italien,182114,681505
2016,3.0,Schweiz und Liechtenstein,18460,81465
2016,3.0,Österreich,20533,72844
2016,4.0,Andere Länder,14940,58642
2016,4.0,Beneluxstaaten,4720,25008
2016,4.0,Deutschland,114217,514257
2016,4.0,Italien,66692,159157
2016,4.0,Schweiz und Liechtenstein,35226,144797
2016,4.0,Österreich,20343,53344
2016,5.0,Andere Länder,25482,79916
2016,5.0,Beneluxstaaten,7853,27734
2016,5.0,Deutschland,313928,1386648
2016,5.0,Italien,59590,143724
2016,5.0,Schweiz und Liechtenstein,42485,178226
2016,5.0,Österreich,34452,94012
2016,6.0,Andere Länder,47154,145923
2016,6.0,Beneluxstaaten,18673,77381
2016,6.0,Deutschland,273233,1376527
2016,6.0,Italien,131599,417859
2016,6.0,Schweiz und Liechtenstein,32235,144163
2016,6.0,Österreich,29311,87049
2016,7.0,Andere Länder,86234,285317
2016,7.0,Beneluxstaaten,51187,228752
2016,7.0,Deutschland,370863,1884223
2016,7.0,Italien,343763,1644591
2016,7.0,Schweiz und Liechtenstein,56523,255813
2016,7.0,Österreich,39113,120978
2016,8.0,Andere Länder,54892,191058
2016,8.0,Beneluxstaaten,30555,164876
2016,8.0,Deutschland,398203,2127980
2016,8.0,Italien,488721,2924098
2016,8.0,Schweiz und Liechtenstein,31158,142231
2016,8.0,Österreich,36031,114760
2016,9.0,Andere Länder,46403,144569
2016,9.0,Beneluxstaaten,14796,64734
2016,9.0,Deutschland,430999,2187674
2016,9.0,Italien,145894,526446
2016,9.0,Schweiz und Liechtenstein,45998,190250
2016,9.0,Österreich,45399,135383
2016,10.0,Andere Länder,21141,78625
2016,10.0,Beneluxstaaten,3920,16588
2016,10.0,Deutschland,325841,1518716
2016,10.0,Italien,100089,248662
2016,10.0,Schweiz und Liechtenstein,56140,244766
2016,10.0,Österreich,48224,131831
2016,11.0,Andere Länder,11636,46407
2016,11.0,Beneluxstaaten,1185,4160
2016,11.0,Deutschland,41017,194047
2016,11.0,Italien,93831,214452
2016,11.0,Schweiz und Liechtenstein,7743,28701
2016,11.0,Österreich,14116,30815
2016,12.0,Andere Länder,44751,192641
2016,12.0,Beneluxstaaten,8132,41142
2016,12.0,Deutschland,118690,498072
2016,12.0,Italien,379688,1110771
2016,12.0,Schweiz und Liechtenstein,12827,44908
2016,12.0,Österreich,11345,29866
2017,1.0,Andere Länder,81107,464905
2017,1.0,Beneluxstaaten,12808,73820
2017,1.0,Deutschland,176545,973758
2017,1.0,Italien,247201,1040259
2017,1.0,Schweiz und Liechtenstein,11371,54815
2017,1.0,Österreich,10234,36936
2017,2.0,Andere Länder,94875,556150
2017,2.0,Beneluxstaaten,35976,174838
2017,2.0,Deutschland,219075,1111801
2017,2.0,Italien,195188,718017
2017,2.0,Schweiz und Liechtenstein,15303,86664
2017,2.0,Österreich,16844,74877
2017,3.0,Andere Länder,60368,345314
2017,3.0,Beneluxstaaten,14562,124990
2017,3.0,Deutschland,193215,1078703
2017,3.0,Italien,160147,615925
2017,3.0,Schweiz und Liechtenstein,13360,64911
2017,3.0,Österreich,17482,57508
2017,4.0,Andere Länder,18720,67470
2017,4.0,Beneluxstaaten,9528,48042
2017,4.0,Deutschland,245407,1090886
2017,4.0,Italien,97668,249177
2017,4.0,Schweiz und Liechtenstein,41267,167675
2017,4.0,Österreich,26855,72720
2017,5.0,Andere Länder,25202,74036
2017,5.0,Beneluxstaaten,7615,27802
2017,5.0,Deutschland,211881,953208
2017,5.0,Italien,62444,157729
2017,5.0,Schweiz und Liechtenstein,39774,167230
2017,5.0,Österreich,33292,93153
2017,6.0,Andere Länder,55442,160740
2017,6.0,Beneluxstaaten,22116,87388
2017,6.0,Deutschland,394275,1892407
2017,6.0,Italien,170115,508539
2017,6.0,Schweiz und Liechtenstein,36558,148670
2017,6.0,Österreich,38151,109347
2017,7.0,Andere Länder,91630,292964
2017,7.0,Beneluxstaaten,50806,226920
2017,7.0,Deutschland,392869,1985914
2017,7.0,Italien,364183,1740160
2017,7.0,Schweiz und Liechtenstein,57334,251008
2017,7.0,Österreich,39371,121022
2017,8.0,Andere Länder,58549,199404
2017,8.0,Beneluxstaaten,30518,162784
2017,8.0,Deutschland,393181,2106749
2017,8.0,Italien,516180,3042867
2017,8.0,Schweiz und Liechtenstein,30974,140801
2017,8.0,Österreich,37124,117796
2017,9.0,Andere Länder,50620,154450
2017,9.0,Beneluxstaaten,14748,65504
2017,9.0,Deutschland,458772,2256083
2017,9.0,Italien,144746,539017
2017,9.0,Schweiz und Liechtenstein,45879,190270
2017,9.0,Österreich,44765,137962
2017,10.0,Andere Länder,23861,81633
2017,10.0,Beneluxstaaten,3979,16757
2017,10.0,Deutschland,337169,1593506
2017,10.0,Italien,93443,236182
2017,10.0,Schweiz und Liechtenstein,54420,246327
2017,10.0,Österreich,51842,139885
2017,11.0,Andere Länder,11368,47205
2017,11.0,Beneluxstaaten,752,3578
2017,11.0,Deutschland,42204,213267
2017,11.0,Italien,104521,244625
2017,11.0,Schweiz und Liechtenstein,8562,31162
2017,11.0,Österreich,17099,39887
2017,12.0,Andere Länder,51817,222592
2017,12.0,Beneluxstaaten,9662,50622
2017,12.0,Deutschland,125374,524304
2017,12.0,Italien,407314,1207859
2017,12.0,Schweiz und Liechtenstein,13037,47095
2017,12.0,Österreich,11720,31532
2018,1.0,Andere Länder,92004,530805
2018,1.0,Beneluxstaaten,13115,75892
2018,1.0,Deutschland,179942,1010529
2018,1.0,Italien,254703,1060417
2018,1.0,Schweiz und Liechtenstein,11929,60751
2018,1.0,Österreich,12174,42212
2018,2.0,Andere Länder,96350,545147
2018,2.0,Beneluxstaaten,39198,210771
2018,2.0,Deutschland,247434,1322368
2018,2.0,Italien,215212,815963
2018,2.0,Schweiz und Liechtenstein,17096,95298
2018,2.0,Österreich,18662,79251
2018,3.0,Andere Länder,67781,372280
2018,3.0,Beneluxstaaten,18517,113711
2018,3.0,Deutschland,287391,1383033
2018,3.0,Italien,185533,633999
2018,3.0,Schweiz und Liechtenstein,18929,76313
2018,3.0,Österreich,23284,80320
2018,4.0,Andere Länder,20110,85267
2018,4.0,Beneluxstaaten,6793,50144
2018,4.0,Deutschland,149605,746577
2018,4.0,Italien,86865,263127
2018,4.0,Schweiz und Liechtenstein,35456,150662
2018,4.0,Österreich,25707,68147
2018,5.0,Andere Länder,26814,84559
2018,5.0,Beneluxstaaten,7519,28584
2018,5.0,Deutschland,321033,1404395
2018,5.0,Italien,64288,162691
2018,5.0,Schweiz und Liechtenstein,40958,170112
2018,5.0,Österreich,36337,90656
2018,6.0,Andere Länder,63921,186846
2018,6.0,Beneluxstaaten,22755,91747
2018,6.0,Deutschland,332620,1609151
2018,6.0,Italien,174903,516491
2018,6.0,Schweiz und Liechtenstein,37279,156244
2018,6.0,Österreich,37708,114335
2018,7.0,Andere Länder,98797,319987
2018,7.0,Beneluxstaaten,48126,218034
2018,7.0,Deutschland,403551,2124592
2018,7.0,Italien,329394,1669996
2018,7.0,Schweiz und Liechtenstein,54088,242042
2018,7.0,Österreich,40600,125784
2018,8.0,Andere Länder,67941,223471
2018,8.0,Beneluxstaaten,29467,151246
2018,8.0,Deutschland,388396,2039708
2018,8.0,Italien,520650,3038053
2018,8.0,Schweiz und Liechtenstein,30824,135256
2018,8.0,Österreich,38852,120765
2018,9.0,Andere Länder,60251,176527
2018,9.0,Beneluxstaaten,16180,70409
2018,9.0,Deutschland,473907,2228718
2018,9.0,Italien,164743,561152
2018,9.0,Schweiz und Liechtenstein,52391,199989
2018,9.0,Österreich,47911,142157
2018,10.0,Andere Länder,27187,91396
2018,10.0,Beneluxstaaten,4031,17423
2018,10.0,Deutschland,311008,1572608
2018,10.0,Italien,96334,236642
2018,10.0,Schweiz und Liechtenstein,51967,241563
2018,10.0,Österreich,51125,136906
2018,11.0,Andere Länder,13387,49192
2018,11.0,Beneluxstaaten,1020,3276
2018,11.0,Deutschland,48068,199803
2018,11.0,Italien,125468,285913
2018,11.0,Schweiz und Liechtenstein,9226,31757
2018,11.0,Österreich,18103,42942
2018,12.0,Andere Länder,58884,253318
2018,12.0,Beneluxstaaten,11148,58114
2018,12.0,Deutschland,146085,627740
