Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District
2011,5.0,2,Spring,7742.0,1661.0,69933.0,10132.0,2997.0,15013.0,107478.0,Burggrafenamt
2011,5.0,3,Spring,2144.0,745.0,18300.0,5031.0,1663.0,1007.0,28890.0,Eisacktal
2011,5.0,4,Spring,2108.0,905.0,14898.0,10284.0,1676.0,1095.0,30966.0,Pustertal
2011,5.0,5,Spring,1397.0,450.0,11369.0,4891.0,1284.0,1037.0,20428.0,Salten-Schlern
2011,5.0,6,Spring,4799.0,873.0,23001.0,6233.0,1711.0,3317.0,39934.0,Uberetsch-Unterland
2011,5.0,7,Spring,1308.0,823.0,9846.0,3864.0,782.0,3075.0,19698.0,Vinschgau
2011,5.0,8,Spring,1083.0,405.0,8481.0,3048.0,943.0,179.0,14139.0,Wipptal
2011,6.0,1,Summer,2116.0,817.0,8540.0,7214.0,5217.0,1670.0,25574.0,Bozen
2011,6.0,2,Summer,7589.0,3010.0,104392.0,12892.0,4275.0,13102.0,145260.0,Burggrafenamt
2011,6.0,3,Summer,2546.0,1410.0,32829.0,10435.0,2865.0,1299.0,51384.0,Eisacktal
2011,6.0,4,Summer,4771.0,3212.0,44406.0,46058.0,7077.0,2956.0,108480.0,Pustertal
2011,6.0,5,Summer,2920.0,1900.0,37774.0,19084.0,4608.0,2730.0,69016.0,Salten-Schlern
2011,6.0,6,Summer,5896.0,1626.0,39800.0,5470.0,2219.0,3230.0,58241.0,Uberetsch-Unterland
2011,6.0,7,Summer,2028.0,2017.0,26048.0,8146.0,2087.0,4254.0,44580.0,Vinschgau
2011,6.0,8,Summer,1095.0,704.0,12459.0,6718.0,1257.0,387.0,22620.0,Wipptal
2011,7.0,1,Summer,1988.0,2492.0,8646.0,6918.0,7478.0,1206.0,28728.0,Bozen
2011,7.0,2,Summer,7213.0,9531.0,96094.0,23617.0,6432.0,19028.0,161915.0,Burggrafenamt
2011,7.0,3,Summer,2693.0,5109.0,31820.0,25021.0,5452.0,1721.0,71816.0,Eisacktal
2011,7.0,4,Summer,4807.0,11417.0,43312.0,153727.0,14843.0,4343.0,232449.0,Pustertal
2011,7.0,5,Summer,2529.0,4620.0,35165.0,62796.0,8679.0,3280.0,117069.0,Salten-Schlern
2011,7.0,6,Summer,4916.0,5080.0,35445.0,9644.0,5031.0,4911.0,65027.0,Uberetsch-Unterland
2011,7.0,7,Summer,2976.0,6642.0,27398.0,22927.0,3632.0,5871.0,69446.0,Vinschgau
