Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Mals,Deutschland,2025,11661
2010,1.0,Mals,Italien,877,4832
2010,1.0,Mals,Schweiz und Liechtenstein,510,1599
2010,1.0,Mals,Österreich,91,281
2010,1.0,Margreid a.d. Weinstr.,Andere Länder,1,164
2010,1.0,Margreid a.d. Weinstr.,Italien,6,52
2010,1.0,Margreid a.d. Weinstr.,Österreich,0,31
2010,1.0,Marling,Andere Länder,6,315
2010,1.0,Marling,Beneluxstaaten,2,6
2010,1.0,Marling,Deutschland,18,495
2010,1.0,Marling,Italien,307,1625
2010,1.0,Marling,Schweiz und Liechtenstein,2,35
2010,1.0,Marling,Österreich,4,41
2010,1.0,Martell,Andere Länder,0,14
2010,1.0,Martell,Beneluxstaaten,4,26
2010,1.0,Martell,Deutschland,40,335
2010,1.0,Martell,Italien,202,1086
2010,1.0,Martell,Schweiz und Liechtenstein,0,23
2010,1.0,Meran,Andere Länder,463,2998
2010,1.0,Meran,Beneluxstaaten,28,152
2010,1.0,Meran,Deutschland,609,2964
2010,1.0,Meran,Italien,6717,27304
2010,1.0,Meran,Schweiz und Liechtenstein,119,536
2010,1.0,Meran,Österreich,238,722
2010,1.0,Montan,Andere Länder,52,133
2010,1.0,Montan,Beneluxstaaten,46,154
2010,1.0,Montan,Deutschland,104,387
2010,1.0,Montan,Italien,449,1446
2010,1.0,Montan,Schweiz und Liechtenstein,5,5
2010,1.0,Montan,Österreich,2,2
2010,1.0,Moos in Passeier,Andere Länder,46,91
2010,1.0,Moos in Passeier,Beneluxstaaten,2,42
2010,1.0,Moos in Passeier,Deutschland,834,5033
2010,1.0,Moos in Passeier,Italien,636,2517
2010,1.0,Moos in Passeier,Schweiz und Liechtenstein,30,166
2010,1.0,Moos in Passeier,Österreich,21,54
2010,1.0,Mölten,Deutschland,8,53
2010,1.0,Mölten,Italien,75,401
2010,1.0,Mölten,Österreich,0,91
2010,1.0,Mühlbach,Andere Länder,1031,5081
2010,1.0,Mühlbach,Beneluxstaaten,170,1113
2010,1.0,Mühlbach,Deutschland,9311,46508
2010,1.0,Mühlbach,Italien,5771,27667
2010,1.0,Mühlbach,Schweiz und Liechtenstein,194,1017
2010,1.0,Mühlbach,Österreich,109,436
2010,1.0,Mühlwald,Andere Länder,109,611
