Year,Month,District,Arrivals,Present
2014,12.0,Salto-Schiliar,99458,418517
2014,12.0,Val Pusteria,186385,758487
2014,12.0,Val Venosta,31786,129019
2014,12.0,Valle Isarco,53048,175522
2015,1.0,Alta Valle Isarco,32332,124613
2015,1.0,Bolzano,16268,31630
2015,1.0,Burggrafenamt,30501,130720
2015,1.0,Oltradige-Bassa Ates.,11031,43201
2015,1.0,Salto-Schiliar,117686,646810
2015,1.0,Val Pusteria,230312,1160334
2015,1.0,Val Venosta,30849,155484
2015,1.0,Valle Isarco,48733,214264
2015,2.0,Alta Valle Isarco,34965,141256
2015,2.0,Bolzano,12434,22128
2015,2.0,Burggrafenamt,27827,111849
2015,2.0,Oltradige-Bassa Ates.,9005,36088
2015,2.0,Salto-Schiliar,127893,717251
2015,2.0,Val Pusteria,241553,1258238
2015,2.0,Val Venosta,37893,200816
2015,2.0,Valle Isarco,55136,250169
2015,3.0,Alta Valle Isarco,28740,104821
2015,3.0,Bolzano,17826,31935
2015,3.0,Burggrafenamt,45293,165692
2015,3.0,Oltradige-Bassa Ates.,15301,52437
2015,3.0,Salto-Schiliar,94607,524657
2015,3.0,Val Pusteria,163114,835414
2015,3.0,Val Venosta,37157,177891
2015,3.0,Valle Isarco,37485,152279
2015,4.0,Alta Valle Isarco,18331,58227
2015,4.0,Bolzano,21064,44897
2015,4.0,Burggrafenamt,118484,548691
2015,4.0,Oltradige-Bassa Ates.,38450,146428
2015,4.0,Salto-Schiliar,25931,133778
2015,4.0,Val Pusteria,48500,238103
2015,4.0,Val Venosta,29680,138169
2015,4.0,Valle Isarco,24916,89994
2015,5.0,Alta Valle Isarco,22759,58467
2015,5.0,Bolzano,26274,57394
2015,5.0,Burggrafenamt,152248,698831
2015,5.0,Oltradige-Bassa Ates.,56500,211297
2015,5.0,Salto-Schiliar,37205,129964
2015,5.0,Val Pusteria,59196,178214
2015,5.0,Val Venosta,31332,105223
2015,5.0,Valle Isarco,43849,145462
2015,6.0,Alta Valle Isarco,24833,77694
2015,6.0,Bolzano,26196,51239
2015,6.0,Burggrafenamt,134568,739783
2015,6.0,Oltradige-Bassa Ates.,51921,224623
2015,6.0,Salto-Schiliar,75538,341605
2015,6.0,Val Pusteria,114399,467856
2015,6.0,Val Venosta,41761,152359
2015,6.0,Valle Isarco,52622,213758
2015,7.0,Alta Valle Isarco,44239,152543
2015,7.0,Bolzano,31871,62644
2015,7.0,Burggrafenamt,158889,895526
2015,7.0,Oltradige-Bassa Ates.,60777,283104
2015,7.0,Salto-Schiliar,123003,691798
2015,7.0,Val Pusteria,258378,1331626
2015,7.0,Val Venosta,70768,294593
2015,7.0,Valle Isarco,75626,352861
2015,8.0,Alta Valle Isarco,51688,210462
2015,8.0,Bolzano,33966,70896
2015,8.0,Burggrafenamt,211525,1139978
2015,8.0,Oltradige-Bassa Ates.,79085,375361
2015,8.0,Salto-Schiliar,159485,936665
2015,8.0,Val Pusteria,312314,1778025
2015,8.0,Val Venosta,91611,409845
2015,8.0,Valle Isarco,97795,476338
2015,9.0,Alta Valle Isarco,34026,105634
2015,9.0,Bolzano,30715,63556
2015,9.0,Burggrafenamt,168609,949735
2015,9.0,Oltradige-Bassa Ates.,66403,300849
2015,9.0,Salto-Schiliar,89231,474252
2015,9.0,Val Pusteria,142450,684797
2015,9.0,Val Venosta,54037,228640
2015,9.0,Valle Isarco,66801,296516
2015,10.0,Alta Valle Isarco,25762,75119
2015,10.0,Bolzano,26244,55335
2015,10.0,Burggrafenamt,150688,742825
2015,10.0,Oltradige-Bassa Ates.,51252,199755
2015,10.0,Salto-Schiliar,49959,209527
2015,10.0,Val Pusteria,64339,241344
2015,10.0,Val Venosta,34462,136655
2015,10.0,Valle Isarco,58190,205483
2015,11.0,Alta Valle Isarco,15344,38621
2015,11.0,Bolzano,19926,37404
2015,11.0,Burggrafenamt,53566,182710
2015,11.0,Oltradige-Bassa Ates.,16645,52547
2015,11.0,Salto-Schiliar,15986,46977
2015,11.0,Val Pusteria,22697,61760
2015,11.0,Val Venosta,14991,52152
2015,11.0,Valle Isarco,20823,55454
2015,12.0,Alta Valle Isarco,36865,113521
2015,12.0,Bolzano,29601,57493
2015,12.0,Burggrafenamt,81448,232398
2015,12.0,Oltradige-Bassa Ates.,26880,67984
2015,12.0,Salto-Schiliar,101009,412847
2015,12.0,Val Pusteria,198214,784039
2015,12.0,Val Venosta,30137,125062
2015,12.0,Valle Isarco,57131,179956
2016,1.0,Alta Valle Isarco,34286,129356
2016,1.0,Bolzano,17375,34043
2016,1.0,Burggrafenamt,35021,145139
2016,1.0,Oltradige-Bassa Ates.,11612,46101
2016,1.0,Salto-Schiliar,126896,657935
2016,1.0,Val Pusteria,250672,1210602
2016,1.0,Val Venosta,33189,157601
2016,1.0,Valle Isarco,52973,223673
2016,2.0,Alta Valle Isarco,36050,144166
2016,2.0,Bolzano,15611,26947
2016,2.0,Burggrafenamt,28034,111210
2016,2.0,Oltradige-Bassa Ates.,9389,38337
2016,2.0,Salto-Schiliar,134645,753978
2016,2.0,Val Pusteria,248409,1302544
2016,2.0,Val Venosta,39780,208958
2016,2.0,Valle Isarco,58916,261663
2016,3.0,Alta Valle Isarco,34135,130476
2016,3.0,Bolzano,20169,39895
2016,3.0,Burggrafenamt,73830,304753
2016,3.0,Oltradige-Bassa Ates.,23516,89238
2016,3.0,Salto-Schiliar,121177,678644
2016,3.0,Val Pusteria,211833,1090239
2016,3.0,Val Venosta,44988,232891
2016,3.0,Valle Isarco,50377,210936
2016,4.0,Alta Valle Isarco,14102,35985
2016,4.0,Bolzano,21049,42214
2016,4.0,Burggrafenamt,103134,449141
2016,4.0,Oltradige-Bassa Ates.,32892,116977
2016,4.0,Salto-Schiliar,11798,48866
2016,4.0,Val Pusteria,25299,96792
2016,4.0,Val Venosta,24927,98090
2016,4.0,Valle Isarco,22937,67140
2016,5.0,Alta Valle Isarco,25849,70443
2016,5.0,Bolzano,28108,60742
2016,5.0,Burggrafenamt,171579,830795
2016,5.0,Oltradige-Bassa Ates.,62665,246119
2016,5.0,Salto-Schiliar,44675,167372
2016,5.0,Val Pusteria,59110,208212
2016,5.0,Val Venosta,37525,132072
2016,5.0,Valle Isarco,54279,194505
2016,6.0,Alta Valle Isarco,25375,76837
2016,6.0,Bolzano,26555,54526
2016,6.0,Burggrafenamt,132281,712390
2016,6.0,Oltradige-Bassa Ates.,49829,212341
2016,6.0,Salto-Schiliar,77388,340261
2016,6.0,Val Pusteria,124057,488272
2016,6.0,Val Venosta,40572,144823
2016,6.0,Valle Isarco,56148,219452
