,Year,Month,District,Category,Arrivals,Present
307,2010,5.0,Alta Valle Isarco,1-2 Star Hotel,1765,3566
308,2010,5.0,Alta Valle Isarco,3 Star Hotel,6881,16042
309,2010,5.0,Alta Valle Isarco,4-5 Star Hotel,7017,24714
310,2010,5.0,Alta Valle Isarco,Other,70,87
311,2010,5.0,Alta Valle Isarco,Campings,532,943
312,2010,5.0,Alta Valle Isarco,Private Lodging,112,1834
313,2010,5.0,Alta Valle Isarco,Residence,436,3085
314,2010,5.0,Alta Valle Isarco,Agricaltural Lodging,166,1361
315,2010,5.0,Oltradige-Bassa Ates.,1-2 Star Hotel,4948,16954
316,2010,5.0,Oltradige-Bassa Ates.,3 Star Hotel,23876,76178
317,2010,5.0,Oltradige-Bassa Ates.,4-5 Star Hotel,8751,36090
318,2010,5.0,Oltradige-Bassa Ates.,Other,481,1132
319,2010,5.0,Oltradige-Bassa Ates.,Campings,3897,19995
320,2010,5.0,Oltradige-Bassa Ates.,Private Lodging,1893,10180
321,2010,5.0,Oltradige-Bassa Ates.,Residence,1704,13188
322,2010,5.0,Oltradige-Bassa Ates.,Agricaltural Lodging,5570,28821
323,2010,6.0,Bolzano,1-2 Star Hotel,1697,7039
324,2010,6.0,Bolzano,3 Star Hotel,7002,13308
325,2010,6.0,Bolzano,4-5 Star Hotel,10496,19119
326,2010,6.0,Bolzano,Other,1171,2373
327,2010,6.0,Bolzano,Campings,804,3901
328,2010,6.0,Bolzano,Private Lodging,20,578
329,2010,6.0,Bolzano,Agricaltural Lodging,132,589
330,2010,6.0,Burgraviato,1-2 Star Hotel,9373,54048
331,2010,6.0,Burgraviato,3 Star Hotel,46248,257987
332,2010,6.0,Burgraviato,4-5 Star Hotel,37172,215987
333,2010,6.0,Burgraviato,Other,1306,4446
334,2010,6.0,Burgraviato,Campings,4925,29983
335,2010,6.0,Burgraviato,Private Lodging,4430,30327
336,2010,6.0,Burgraviato,Private Lodging,21,192
337,2010,6.0,Burgraviato,Residence,7963,70066
338,2010,6.0,Burgraviato,Agricaltural Lodging,5203,38257
339,2010,6.0,Valle Isarco,1-2 Star Hotel,5084,23512
340,2010,6.0,Valle Isarco,3 Star Hotel,18153,79891
341,2010,6.0,Valle Isarco,4-5 Star Hotel,11146,48257
342,2010,6.0,Valle Isarco,Other,2612,6008
343,2010,6.0,Valle Isarco,Campings,1364,2222
344,2010,6.0,Valle Isarco,Private Lodging,1156,6610
345,2010,6.0,Valle Isarco,Private Lodging,2,12
346,2010,6.0,Valle Isarco,Residence,999,10205
347,2010,6.0,Valle Isarco,Agricaltural Lodging,2239,14492
348,2010,6.0,Val Pusteria,1-2 Star Hotel,9046,41200
349,2010,6.0,Val Pusteria,3 Star Hotel,31885,124676
350,2010,6.0,Val Pusteria,4-5 Star Hotel,25519,108557
351,2010,6.0,Val Pusteria,Other,3678,9298
